image_name,channel,camera_name,X,Y,Z,col_sample,row_sample
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266512.7634,4691276.799,177.8603668,2286.902773,1358.858733
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266512.8775,4691275.937,177.8614807,2255.54295,1751.183403
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266514.8211,4691280.54,177.8493042,3207.264428,60.98204994
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266515.0384,4691279.501,177.8542633,3294.92868,417.1931063
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266515.125,4691279.053,177.8535461,3320.399095,586.0255682
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266515.2181,4691278.631,177.8526917,3341.808086,763.8589349
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266515.3933,4691277.794,177.8348389,3365.089071,1103.594587
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266515.4397,4691277.568,177.8506317,3364.482633,1206.689122
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266515.7032,4691276.569,177.8525848,3354.744963,1615.183836
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266515.7378,4691276.399,177.8512726,3347.467702,1681.285626
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266515.9152,4691280.701,178.1510162,3525.372273,117.0974609
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266515.9355,4691275.582,177.8516235,3307.729392,1971.216373
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266516.0676,4691279.279,178.1585846,3612.449344,585.4816935
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266516.4126,4691277.754,178.1519775,3665.982156,1191.701905
NVR1_N910A6_ch5_main.tiff,5,NVR1_N910A6_ch5_main,266516.6711,4691276.623,178.1464081,3642.782518,1629.933037
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266507.0336,4691282.696,178.171814,268.392837,80.98738927
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266507.3984,4691281.173,178.1633453,185.3553635,609.5178238
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266507.7104,4691279.612,178.1601105,191.1221671,1216.496045
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266508.0261,4691278.337,178.1650696,279.8298496,1694.306868
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266508.6465,4691282.236,177.8583984,636.3149281,249.4132205
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266508.7831,4691281.486,177.8551331,602.7721032,543.6141869
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266508.804,4691281.345,177.8534698,595.696988,601.2258388
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266508.9387,4691280.633,177.8518982,586.9919087,900.4899808
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266509.0507,4691279.968,177.8454132,593.9063742,1182.05026
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266509.3192,4691278.626,177.8538513,665.3322198,1717.731372
NVR1_N910A6_ch6_main.tiff,6,NVR1_N910A6_ch6_main,266509.344,4691278.481,177.8527832,677.4609886,1771.704393
